"V1","word"
"1","tis"
"2","aint"
"3","amnt"
"4","arent"
"5","cant"
"6","couldve"
"7","couldnt"
"8","couldntve"
"9","didnt"
"10","doesnt"
"11","dont"
"12","gonna"
"13","gotta"
"14","hadnt"
"15","hadntve"
"16","hasnt"
"17","havent"
"18","hed"
"19","hednt"
"20","hedve"
"21","hell"
"22","hes"
"23","hesnt"
"24","howd"
"25","howll"
"26","hows"
"27","id"
"28","idnt"
"29","idntve"
"30","idve"
"31","ill"
"32","im"
"33","ive"
"34","ivent"
"35","isnt"
"36","itd"
"37","itdnt"
"38","itdntve"
"39","itdve"
"40","itll"
"41","its"
"42","itsnt"
"43","mightnt"
"44","mightve"
"45","mustnt"
"46","mustntve"
"47","mustve"
"48","neednt"
"49","oclock"
"50","ol"
"51","oughtnt"
"52","shant"
"53","shed"
"54","shednt"
"55","shedntve"
"56","shedve"
"57","shell"
"58","shes"
"59","shouldve"
"60","shouldnt"
"61","shouldntve"
"62","somebodydve"
"63","somebodydntve"
"64","somebodys"
"65","someoned"
"66","someonednt"
"67","someonedntve"
"68","someonedve"
"69","someonell"
"70","someones"
"71","somethingd"
"72","somethingdnt"
"73","somethingdntve"
"74","somethingdve"
"75","somethingll"
"76","somethings"
"77","thatll"
"78","thats"
"79","thatd"
"80","thered"
"81","therednt"
"82","theredntve"
"83","theredve"
"84","therere"
"85","theres"
"86","theyd"
"87","theydnt"
"88","theydntve"
"89","theydve"
"90","theydvent"
"91","theyll"
"92","theyontve"
"93","theyre"
"94","theyve"
"95","theyvent"
"96","wasnt"
"97","wed"
"98","wedve"
"99","wednt"
"100","wedntve"
"101","well"
"102","wontve"
"103","were"
"104","weve"
"105","werent"
"106","whatd"
"107","whatll"
"108","whatre"
"109","whats"
"110","whatve"
"111","whens"
"112","whered"
"113","wheres"
"114","whereve"
"115","whod"
"116","whodve"
"117","wholl"
"118","whore"
"119","whos"
"120","whove"
"121","whyd"
"122","whyre"
"123","whys"
"124","wont"
"125","wontve"
"126","wouldve"
"127","wouldnt"
"128","wouldntve"
"129","yall"
"130","yalldve"
"131","yalldntve"
"132","yallll"
"133","yallont"
"134","yallllve"
"135","yallre"
"136","yallllvent"
"137","yaint"
"138","youd"
"139","youdve"
"140","youll"
"141","youre"
"142","yourent"
"143","youve"
"144","youvent"
