title,clickbait,ids
Blatter set to be re-elected as FIFA suspends two senior officials,FALSE,23331
"Majel Barrett-Roddenberry, wife of 'Star Trek' creator dies of cancer at 76",FALSE,16630
"Rob Broudie, top British lawyer, found dead",FALSE,23505
Wife Seeks Voice in Stanford Ponzi Scheme Lawsuit,FALSE,22766
US drone strike kills at least fifteen in Pakistan,FALSE,19287
A Telescope to the Past as Galileo Visits U.S.,FALSE,11997
Virgin opens up service in New Zealand,FALSE,10040
"School closed after five-year-old boy dies from suspected swine flu in Buckinghamshire, England",FALSE,14777
US House of Representatives rejects bail out bill in vote,FALSE,16273
Medvedev Visits Newspaper of Slain Journalists,FALSE,9402
Dissident in Myanmar Is Improving,FALSE,22921
BBC's Strictly Come Dancing to be broadcast from Blackpool Tower,FALSE,16681
Judge Guilty in Kickbacks Is Accused of Fixing Suit,FALSE,12333
News agencies suggest that campaign operative for Republican Party edited article on vice presidential nominee,FALSE,15837
2010 Komen St. Louis Race for the Cure becomes world's largest Komen race,FALSE,9006
Moscow celebrates Victory Day with military parade,FALSE,12735
Spyware is changing users' online habits,FALSE,17951
"Iran election going to run-off, challenger alleges fraud",FALSE,18279
Profit Plummets at BlackRock,FALSE,19139
Six killed and hundreds injured in Bahrain,FALSE,10795
American actress Estelle Getty dead at age 84,FALSE,14116
Officials Identify Alabama Gunman,FALSE,10916
Morgan Stanley Seeks Successor,FALSE,18985
Medvedev Visits South Ossetia and Promises Help in Rebuilding,FALSE,19557
Quake Fears Stall Energy Extraction Project,FALSE,22070
California Seeks to Curb Appetite of Power-Hungry TVs,FALSE,19176
CTV acquires rights to 'The Hockey Theme',FALSE,11411
China Goes on a Commodities Shopping Spree,FALSE,15878
Rumsfeld calls Afghanistan a 'big success',FALSE,23603
FIFA to make changes after Thierry Henry handball,FALSE,10551
Iraq banned from participating in Beijing Olympics,FALSE,12326
Australian Defence Department funds controversial development training,FALSE,19878
Times Results Reflect Decline in Advertising,FALSE,16581
Bomb blasts in Athens destroy Finnish diplomat's car,FALSE,23493
European Shares Slide After British Bank Bailout,FALSE,18564
Hong Kong teenager murders mother and sister,FALSE,13740
"At least 89 dead in Phuket, Thailand air crash",FALSE,18586
US and France to work together for new Iran sanctions,FALSE,22441
US Federal Reserve prepares to take over AIG,FALSE,16277
Is America Ready to Quit Coal?,FALSE,10292
Tibetans say 80 killed in protests; China continues to crack down,FALSE,20352
"Two largest known prime numbers discovered just two weeks apart, one qualifies for $100k prize",FALSE,8808
Security increased at Delta plants due to extortion threat,FALSE,18876
Former Iraqi Minister Is Arrested,FALSE,21130
Icelandic Landsbanki Íslands earnings on the increase,FALSE,23555
2008 Taiwan presidential election: First official debate with citizen journalists' participation,FALSE,8979
Large increase in number of foreclosures across US,FALSE,11241
Verizon says customer phone records were not handed over to the NSA,FALSE,21177
Pakistani Offensive Puts Truce on Shakier Ground,FALSE,10812
Australian Government to pressure Asia to reduce fuel subsidies,FALSE,20130
Pentagon to Release Detainee Photos,FALSE,21127
FIA Chief Says Deal Reached to Prevent F1 Split,FALSE,17927
"For Some Airlines, Doubts Take a Back Seat",FALSE,12937
"4 Years for Christian Milton, Ex-A.I.G. Executive",FALSE,12427
Rose Parade Continues Amidst Downpour,FALSE,19615
Bomb blast damages buildings in Athens,FALSE,9167
"Palin Is Putting Personal Ambition Ahead of Alaska, Critics Say",FALSE,16213
Seven face deportation after UK dawn raids,FALSE,23946
"Win Willy, a 56-to-1 Long Shot, Upsets Old Fashioned in the Rebel Stakes",FALSE,16004
"India-China border-treaty hoped to improve ties, facilitate trade",FALSE,15167
Missouri Circuit Court Judge Werner Moentmann rules that Planned Parenthood must repay money.,FALSE,10491
Unease in Papua After Indonesia Invites Rebel Leader Back,FALSE,16078
Greenpeace tries to thwart Chesapeake Bay fishing fleet,FALSE,9881
China Said to Be Seeking Bigger Stake in Rio Tinto,FALSE,21434
Letting Marbury  Go to Celtics Could Backfire on Knicks,FALSE,21827
New rocky planet discovered in orbit around nearby star,FALSE,12430
Four Boeing 737's found with similar fault to China Airlines plane; inspection deadline shortened,FALSE,20440
Tensions rise between North Korea and United States,FALSE,9290
"McDonald's unfairly dismissed worker for giving a colleague free cheese, says Dutch court",FALSE,9645
Poisoned liquor kills 17 in Kenyan slum,FALSE,21990
Family and Lawyer Fear for Reporter Who Threw His Shoes at Bush,FALSE,13593
A Reluctance to Break the Large Bills,FALSE,14679
9 Killed by Bomb in Afghanistan,FALSE,22595
At least 30 dead after bus crashes off cliff and into river in South Africa,FALSE,22045
Brazilian news agency using free software for multimedia broadcasting,FALSE,12964
Sarkozy Backs Drive to Eliminate the Burqa,FALSE,9729
"Five boys charged with raping girl in Greater Manchester, England",FALSE,14929
"Pope, Expressing Solidarity With Jews, Reacts to Uproar Over a Holocaust Denier",FALSE,21367
Selling a Beloved Boat in an Economic Storm,FALSE,18647
Wikinews reports from 2008 Taiwan Open Source Developers' Conference,FALSE,14302
Yankees Give Up 14 Runs in Second Inning,FALSE,21822
Canada commits C$127.4 million to fighting tuberculosis,FALSE,21466
Tonga renews emergency regulations,FALSE,15724
Government Study Warns of Climate Change Effects,FALSE,16388
Former Australian police media director Stephen Linnell's perjury conviction quashed,FALSE,22292
Bomb Blast Kills Tourist in Cairo,FALSE,9204
DNA tests confirm bones found are Steve Fossett's,FALSE,19135
Heavy lift Delta IV rocket launch problems,FALSE,18969
"US Senators, EU voice support for Iran sanctions",FALSE,18617
US army commander in Afghanistan asks for more troops in leaked report,FALSE,22011
Japan and Korea Vow Unity on Economic Slump,FALSE,15729
Blown for Good author discusses life inside international headquarters of Scientology,FALSE,22372
Gordon Brown defends Iraq decision,FALSE,20432
Large scale gene transfer between single-celled and multicellular organisms reported,FALSE,16513
Medtronic Posts 69% Decline in Profit,FALSE,13961
"UK's Labour government faces cabinet resignations, electoral defeat",FALSE,18102
Longtime New York radio reporter found stabbed to death,FALSE,8967
"Eleven days later, a survivor pulled from rubble after Chinese earthquake",FALSE,15603
French police arrest two women wearing veils after burqa ban goes into effect,FALSE,15454
A Reality Check on Mortgage Modification,FALSE,24619
Canada's Astral Media Inc. to aquire Standard Radio,FALSE,19791
European Shares Mixed After a Jump in Asia,FALSE,8855
Cashman Takes Issue With Book Anecdote About Giambi,FALSE,15528
Time Warner Says It Will Spin Off AOL,FALSE,11899
Conservative Party launches manifesto,FALSE,24464
"Íngrid Betancourt and others rescued, says Colombia",FALSE,11169
US unemployment rate reaches 9.4 percent,FALSE,9586
UK military deaths in Afghanistan reach 250,FALSE,16789
"No Stork Involved, but Mom and Dad Had Help",FALSE,9679
Hurricane Rita makes landfall,FALSE,17057
"US raids Iran 'liaison office', Russia says it is unacceptable",FALSE,11777
Missouri Wears Out Memphis to Advance to Round of 8,FALSE,16593
Militant factions clash in Somalia,FALSE,17636
Tennis: Justine Henin defeats Jelena Jankovic to win Rogers Cup,FALSE,14398
"Lizards are capable of problem-solving, study shows",FALSE,16437
Investment Will Expand Staff at Talking Points Memo,FALSE,16942
Spy Tale Roils Muddied Waters in Cup Dispute,FALSE,13533
Two Knicks Who Are Worth Keeping,FALSE,16801
G8 finance ministers agree on deal to relieve debts of 18 poorest nations,FALSE,24517
"Cameron, Salmond sign deal for referendum on Scottish independence",FALSE,9812
Japanese tsunami impacts California coastal town,FALSE,21737
Obama Goes to Lawmakers on Budget,FALSE,16626
"20,000 Poles demonstrate on the streets of Warsaw",FALSE,24157
"No Union for FedEx Home Drivers, Court Rules",FALSE,21750
Orange Dominate Inside to Beat Fighting Irish,FALSE,14892
"'Fascinating' and 'provocative' research examines genetic elements of bipolar, schizophrenia",FALSE,10308
Pilots Killed in Crash of FedEx Plane in Japan,FALSE,10889
Second Paris fire kills 16 in 18-story building,FALSE,16603
Rituals of the Rich Meet Realities of the Economy,FALSE,16465
Australian government to consider dropping US FTA amendment,FALSE,8851
Historic Scottish island castle wins the lottery,FALSE,19812
Al-Jazeera poll shows many Pakistanis identify America as 'biggest' threat,FALSE,10992
Serena Williams and Dementieva Advance to Third Round in Melbourne,FALSE,23696
Executives from IT industry focus on 10-year anniversary of Microsoft Research Asia,FALSE,17235
Off Festival 2007 takes place in Poland,FALSE,19713
US state of Texas executes woman convicted of murdering family,FALSE,18845
Appeals Court Stops Release of 17 Detainees in U.S.,FALSE,17251
Arctic ice cap shrank sharply this summer,FALSE,19271
NATO summit in Bucharest enters second day,FALSE,11018
Toyota Is Tightening Its Belt,FALSE,9994
3 Die in Turkey in Shootout Between Police and Militant,FALSE,16734
Big Movie Studios May Be Mightier Than Ever,FALSE,19924
Jobs Data Gives Shares a Lift,FALSE,10376
Credit Card Industry Aims to Profit From Sterling Payers,FALSE,8694
Bloggers investigate social networking websites,FALSE,21396
GMTV ends broadcasting in UK after 17 years,FALSE,23482
"Pakistan government must investigate killings and abductions of journalists, says UN",FALSE,8839
Cricket: England defeats India in fourth one-day international,FALSE,12361
Air Pacific re-brands as Fiji Airways,FALSE,19900
"Sun Microsystems cuts 6,000 jobs",FALSE,16687
Drug-resistant infections on the rise in American hospitals,FALSE,16245
Organic Dairies Watch the Good Times Turn Bad,FALSE,19402
Ukraine and Russia Sign Deal Over Gas,FALSE,19727
Austrian students' protests expanding through Europe,FALSE,17794
German Adidas buys American Reebok,FALSE,9501
"Olympic highlights: August 11, 2008",FALSE,11334
Russian spy deported out of Canada,FALSE,15271
Bolivian president announces legal action over Obama's 'crimes against humanity',FALSE,23894
Stampede at German music festival kills nineteen,FALSE,20357
What Red Ink? Wall St. Paid Fat Bonuses,FALSE,8928
Utah State Keeps Winning With Little Fanfare,FALSE,8986
AMBER alert issued in Maryland for missing teenaged boys,FALSE,21552
Wall Street Cautious on Signs of Persistent Slump,FALSE,24074
Pakistan Wins World Twenty20 Championship,FALSE,19370
Turkey bans pro-Kurdish party,FALSE,16833
